run;weight;alpha;beta;harbourBonus;dist
446;farming;0.81;1.11;0.70;80235.61
743;farming;1.57;1.09;0.90;80237.19
831;farming;1.11;0.85;0.88;80248.24
613;farming;1.51;1.19;0.89;80257.20
88;farming;1.63;1.54;0.88;80268.48
426;farming;0.90;1.70;0.85;80278.79
22;farming;1.25;1.66;0.86;80282.59
512;farming;1.51;1.73;0.86;80288.35
796;farming;0.87;1.96;0.83;80299.52
712;farming;1.53;1.18;0.85;80301.60
203;farming;0.67;1.23;0.13;80324.21
634;farming;1.97;0.36;0.83;80330.65
804;farming;1.87;0.67;0.83;80332.18
872;farming;1.52;1.90;0.82;80344.60
243;farming;0.87;0.93;0.73;80357.97
646;farming;0.78;1.05;0.43;80369.82
242;farming;1.62;0.89;0.80;80370.94
389;farming;2.00;1.58;0.80;80370.98
595;farming;1.80;0.10;0.79;80378.00
497;farming;1.95;1.08;0.79;80387.08
10;farming;0.92;0.36;0.42;80397.58
573;farming;1.72;1.58;0.77;80413.31
505;farming;1.28;0.21;0.75;80422.09
700;farming;1.49;0.17;0.74;80445.99
576;farming;1.88;1.26;0.75;80449.19
35;farming;1.27;1.52;0.74;80449.19
27;farming;1.01;0.79;0.72;80458.61
288;farming;1.67;1.35;0.74;80459.76
598;farming;1.49;0.41;0.71;80500.28
508;farming;0.74;1.35;0.36;80514.31
907;farming;1.49;1.09;0.69;80523.72
195;farming;1.78;0.51;0.68;80540.21
963;farming;0.97;1.74;0.67;80542.60
244;farming;1.60;1.53;0.68;80546.67
580;farming;0.72;1.82;0.51;80555.34
341;farming;1.75;1.90;0.65;80593.60
970;farming;1.21;0.23;0.63;80600.53
668;farming;1.02;1.13;0.62;80615.99
924;farming;1.16;0.74;0.61;80638.44
128;farming;1.90;0.52;0.60;80674.06
860;farming;1.92;1.75;0.60;80680.76
435;farming;1.97;1.84;0.60;80691.09
161;farming;1.73;0.54;0.58;80705.88
893;farming;1.56;0.13;0.57;80719.49
767;farming;1.03;0.89;0.56;80726.80
953;farming;1.01;0.04;0.55;80728.25
384;farming;0.92;1.68;0.55;80738.45
713;farming;1.72;0.75;0.57;80742.45
273;farming;0.87;0.88;0.42;80751.16
886;farming;1.33;0.81;0.55;80756.97
162;farming;1.15;1.91;0.54;80767.38
547;farming;1.97;0.39;0.53;80799.62
782;farming;1.32;0.95;0.53;80807.07
730;farming;1.47;1.36;0.52;80821.37
922;farming;1.23;1.03;0.52;80822.38
881;farming;1.13;0.19;0.46;80927.11
11;farming;1.30;0.57;0.46;80944.68
148;farming;0.99;0.08;0.43;80958.53
388;farming;0.88;1.94;0.43;80962.57
278;farming;1.34;0.65;0.45;80963.72
47;farming;1.92;1.55;0.45;80979.37
311;farming;1.96;0.88;0.44;80989.43
916;farming;1.00;0.25;0.40;81035.50
921;farming;1.09;0.78;0.41;81040.52
616;farming;1.71;1.31;0.42;81041.71
331;farming;1.45;1.54;0.40;81083.23
73;farming;1.73;1.87;0.38;81129.00
741;farming;1.06;1.96;0.36;81153.61
896;farming;0.89;1.59;0.35;81161.00
822;farming;1.67;0.76;0.37;81164.99
371;farming;1.57;0.27;0.36;81172.27
235;farming;1.67;0.78;0.36;81189.78
274;farming;1.52;1.10;0.35;81192.04
545;farming;1.43;0.63;0.35;81194.33
733;farming;1.68;1.65;0.36;81195.74
355;farming;1.50;1.08;0.35;81197.54
297;farming;1.01;0.77;0.34;81197.68
39;farming;1.74;0.55;0.35;81206.57
26;farming;0.84;1.99;0.32;81226.65
145;farming;0.98;0.39;0.31;81243.95
367;farming;1.26;1.57;0.33;81255.46
859;farming;1.33;0.47;0.32;81276.62
337;farming;1.91;1.54;0.31;81319.40
464;farming;1.96;0.43;0.31;81324.37
906;farming;1.16;0.01;0.29;81329.70
794;farming;1.72;0.99;0.28;81383.65
543;farming;0.98;0.54;0.23;81490.61
49;farming;1.52;0.86;0.21;81603.20
471;farming;1.18;1.27;0.20;81614.70
212;farming;1.55;1.98;0.20;81641.32
654;farming;0.82;1.35;0.02;81770.98
91;farming;1.27;0.06;0.15;81780.71
366;farming;0.86;1.92;0.12;81822.64
496;farming;1.29;0.79;0.14;81832.80
991;farming;1.50;1.11;0.12;81915.98
172;farming;1.00;0.98;0.10;81928.09
542;farming;1.44;1.98;0.11;81957.85
70;farming;1.96;1.66;0.11;81958.05
224;farming;1.36;1.51;0.10;81970.00
769;farming;1.68;0.82;0.10;81972.88
349;farming;1.59;1.56;0.10;81990.73
28;farming;1.23;0.31;0.09;81994.07
904;farming;1.87;1.53;0.09;82025.19
551;farming;1.34;0.75;0.08;82044.32
489;farming;1.71;0.02;0.08;82065.48
926;farming;0.80;1.97;0.04;82070.46
204;farming;1.60;1.23;0.08;82073.07
352;farming;1.60;1.42;0.08;82073.75
955;farming;1.58;0.58;0.04;82233.94
994;farming;1.73;1.32;0.04;82235.39
391;farming;1.46;1.21;0.03;82254.21
511;farming;1.52;1.27;0.02;82291.18
950;farming;1.45;0.58;0.00;82390.90
