cat,size,elev,XCOORD,YCOORD,farming,prom
81,32,7,6277998.313403,1779955.335772,3,718.677151515152
82,33,530,6325270.929919,1759736.836164,23,979.264941176471
83,33,643,6110994.58689,1729653.100166,8,395.470823529412
84,34,38,5828203.652881,1827496.571656,18,765.951473684211
85,36,1242,6085222.32855,1813294.527841,44,771.779647058824
86,37,17,6052140.453011,1685258.115934,17,818.297135135135
87,37,947,6080606.469366,1900076.023558,60,870.250235294118
88,37,1470,6120275.540463,1865491.604178,27,891.000235294118
89,38,397,5822570.486634,1837319.425364,52,1038.77964705882
90,38,1169,6139644.043907,1850081.360358,27,1268.14729411765
91,39,17,5978104.730511,1730868.248704,13,789.144142857143
92,40,204,5932904.79946,2103118.475594,38,769.956117647059
93,41,173,6223670.646401,1802751.627756,76,959.323764705882
94,42,1295,6162679.062835,1865422.792645,46,985.264941176471
95,42,61,5872506.183254,1689622.410547,1,831.233428571429
96,44,24,5851813.732727,1727128.728537,12,817.795333333333
97,45,1040,6160619.679398,2073329.799506,81,915.014941176471
98,46,88,5905117.855882,1800182.032676,70,869.514941176471
99,46,17,5794968.811366,1927532.020607,50,832.670771929825
100,46,1138,6160388.557039,1949031.726194,64,865.485529411765
101,49,1008,6003883.622335,2008777.425891,82,891.441411764706
102,49,778,6750298.501909,2164331.9179,82,890.514941176471
103,50,144,5847651.092092,1936774.237742,82,925.264941176471
104,50,153,5722147.933546,1973672.434276,34,940.162
105,50,263,5921615.684756,1830730.144986,37,892.470823529412
106,50,9,6220205.670143,1789535.301888,25,900.262
107,52,311,6421593.421777,2365010.647217,76,867.912
108,54,242,5911978.543488,1836950.502602,42,835.323764705882
109,55,20,6168105.944823,1796679.244382,82,893.632588235294
110,58,10,6159099.35969,2347366.080353,19,693.195333333333
111,60,50,6157128.049248,1784853.98237,44,904.078666666667
112,60,904,6034151.114729,1732668.595255,25,1200.45611764706
113,60,934,6149519.311343,2028771.380979,82,882.059058823529
114,70,3,5845134.578392,1778940.118488,38,896.484580645161
115,71,40,5758207.800924,1855917.542624,20,853.740947368421
116,71,6,5788720.628698,1839430.658872,20,884.968451612903
117,72,896,6713006.377712,1998784.0679,78,865.985529411765
118,72,38,5703962.754376,2022420.106588,76,922.044352941176
119,73,18,6515234.394651,1900783.44368,82,903.132588235294
120,78,55,5893953.993452,1765959.102446,53,834.529647058824
121,80,39,6095756.352962,2274364.37388,34,831.495333333333
122,80,365,5995105.400146,1860435.538602,51,894.367882352941
123,80,524,5965854.375126,1828331.543482,68,848.529647058824
124,84,62,6447410.272363,1813896.939469,68,861.220823529412
125,86,31,5859781.871937,1818943.624501,74,880.162
126,90,41,5701214.278357,1999038.151039,29,898.504857142857
127,93,283,5995825.860636,1850535.072188,82,927.059058823529
128,100,34,6587377.218877,1964440.197731,82,905.970823529412
129,113,881,6251785.679288,2165982.252675,82,891.191411764706
130,114,35,5762855.456903,2088209.477041,27,884.809058823529
131,125,108,5889040.406112,1898152.661567,64,854.500235294118
132,137,97,5981196.912995,2143715.121429,60,870.073764705882
133,150,28,5869858.151648,1729158.431578,28,786.995333333333
134,150,11,6563807.621635,1872606.041127,7,907.530421052632
135,150,1110,6388128.549718,2200943.509762,76,885.176705882353
136,158,3,5830980.551109,2100631.757585,22,774.715191489362
137,184,5,5990298.200445,2184248.275488,50,839.988923076923
138,185,50,5841877.720938,1824618.149516,50,845.603176470588
139,186,82,5813727.202331,1872475.380796,40,913.335913043478
140,230,80,5801511.307503,1950691.921394,65,837.500235294118
