code;cost
7_59;162752
7_60;206083
7_61;512795
7_62;383333
7_63;206054
7_64;547372
7_65;437418
7_66;294833
7_67;1671994
7_68;503455
7_69;475013
7_70;686988
7_71;210321
7_72;576917
7_73;728295
7_74;1239321
7_75;435645
7_76;722985
7_77;239817
7_78;309698
7_79;258313
7_80;541328
7_81;397699
7_82;499607
7_83;256873
7_84;472015
7_85;84649
7_86;329434
7_87;76849
7_88;74831
7_89;485382
7_90;112686
7_91;304545
7_92;542014
7_93;291049
7_94;155394
7_95;505864
7_96;503478
7_97;432477
7_98;356247
7_99;551158
7_100;217486
7_101;322014
7_102;1390880
7_103;464765
7_104;748993
7_105;301093
7_106;290253
7_107;1134770
7_108;313183
7_109;195513
7_110;928786
7_111;190712
7_112;263217
7_113;345767
7_114;472792
7_115;593365
7_116;539564
7_117;1216013
7_118;785844
7_119;800984
7_120;399761
7_121;765148
7_122;157006
7_123;228852
7_124;700998
7_125;414536
7_126;776725
7_127;157932
7_128;966684
7_129;659749
7_130;731146
7_131;368190
7_132;573245
7_133;469863
7_134;892565
7_135;826945
7_136;626132
7_137;641394
7_138;446119
7_139;494819
7_140;557549
8_1;1478010
8_2;241853
8_3;181934
8_4;44806
8_5;199928
8_6;406964
8_7;135248
8_8;0
8_9;393964
8_10;196408
8_11;492661
8_12;1236737
8_13;179327
8_14;545333
8_15;171411
8_16;406490
8_17;148550
8_18;187579
8_19;1471452
8_20;299162
8_21;108467
8_22;562742
8_23;393382
8_24;298431
8_25;206898
8_26;339124
8_27;341008
8_28;340388
8_29;396277
8_30;563564
8_31;515707
8_32;635008
8_33;212545
8_34;154789
8_35;491201
8_36;68734
8_37;368034
8_38;120480
8_39;215533
8_40;105809
8_41;692343
8_42;1192126
8_43;135986
8_44;56263
8_45;197852
8_46;398285
8_47;199165
8_48;118579
8_49;56075
8_50;484169
8_51;209275
8_52;1640746
8_53;1162921
8_54;469522
8_55;296946
8_56;207322
8_57;132874
8_58;601595
8_59;52524
8_60;170362
8_61;530646
8_62;378962
8_63;341070
8_64;682213
8_65;448319
8_66;159181
8_67;1728034
8_68;415016
8_69;386574
8_70;638097
8_71;134434
8_72;488477
8_73;674578
8_74;1341557
8_75;435210
8_76;664722
8_77;162388
8_78;212553
8_79;125932
8_80;618964
8_81;309259
8_82;411168
8_83;128281
8_84;519543
8_85;57146
8_86;227237
8_87;209821
8_88;142806
8_89;537287
8_90;127567
8_91;270023
8_92;676854
8_93;211991
8_94;176199
8_95;492666
8_96;500323
8_97;536589
8_98;373260
8_99;639129
8_100;315510
8_101;456854
8_102;1408836
8_103;552735
8_104;836964
8_105;353165
8_106;201793
8_107;1234702
8_108;375391
8_109;109721
8_110;1036979
8_111;93682
8_112;177033
8_113;453936
8_114;490114
8_115;663531
8_116;595929
8_117;1222692
8_118;873815
8_119;803331
8_120;399570
8_121;887295
8_122;244027
8_123;273768
8_124;633856
8_125;456781
8_126;864696
8_127;234739
8_128;973427
8_129;760925
8_130;825617
8_131;456161
8_132;706605
8_133;466709
8_134;888171
8_135;924969
8_136;752560
8_137;774754
8_138;492237
8_139;574158
8_140;645520
9_1;1214235
9_2;423789
9_3;529742
9_4;414427
9_5;540739
9_6;13915
9_7;486931
9_8;400784
9_9;0
9_10;523824
9_11;251005
9_12;1150985
9_13;520253
9_14;308220
9_15;549594
9_16;15208
9_17;491474
9_18;527598
9_19;1227459
9_20;124108
9_21;345442
9_22;785726
9_23;294879
9_24;95562
9_25;426769
9_26;582156
9_27;52720
9_28;64379
9_29;794954
9_30;776195
9_31;913236
9_32;1029621
9_33;497519
9_34;425599
